filename,paragraph,sentence,pairs
N5085FM-00045.txt,2,2,[('小野田', '日野')]
N5085FM-00045.txt,4,4,[('小野田', '日野')]
N5085FM-00045.txt,11,4,[('小野田', '日野')]
N5085FM-00045.txt,14,1,[('安藤', '日々木'), ('日々木', '日野'), ('安藤', '日野')]
N5085FM-00045.txt,25,1,[('田村', '小野田'), ('谷', '小野田'), ('谷', '田村')]
N5085FM-00045.txt,28,3,[('谷', '田村')]
N5085FM-00046.txt,5,4,[('森尾', '伊東')]
N5085FM-00046.txt,7,4,[('三島', '塚本'), ('千草', '日野'), ('塚本', '千草'), ('三島', '千草'), ('塚本', '日野'), ('三島', '日野')]
N5085FM-00046.txt,8,3,[('日々木', '日野')]
N5085FM-00046.txt,10,3,[('森尾', '伊東')]
N5085FM-00046.txt,12,5,[('日々木', '日野')]
N5085FM-00046.txt,13,1,[('高木', '日野')]
N5085FM-00046.txt,15,2,[('日々木', '日野')]
N5085FM-00046.txt,25,1,[('日々木', '日野')]
